ticket_id,client_id,technician_id,category,priority,opened_at,closed_at,status,summary
42,25,7,Network,Medium,2024-01-19 08:15:52,2024-01-20 02:52:30,Closed,Wi-Fi drops in back office
43,29,8,Software,High,2024-01-10 12:08:57,2024-01-10 12:11:01,Closed,Email client stuck offline
44,40,5,Accounts,Medium,2024-01-28 08:28:02,2024-01-28 20:16:06,Closed,Shared mailbox access
45,24,8,Software,Low,2024-01-06 12:06:05,2024-01-07 20:30:34,Closed,Update failed to install
46,26,8,Hardware,High,2024-01-30 08:34:40,2024-01-30 12:30:22,Closed,Printer jams on every job
47,10,3,Network,Medium,2024-01-07 07:05:47,2024-01-08 08:36:05,Closed,Guest network open to staff VLAN
48,29,8,Hardware,High,2024-01-16 11:57:30,2024-01-16 13:51:18,Closed,Printer jams on every job
49,10,8,Network,Medium,2024-01-19 11:12:39,2024-01-19 15:06:33,Closed,DNS resolution failing
50,19,4,Network,Low,2024-01-20 15:34:27,2024-01-21 05:49:08,Closed,DNS resolution failing
51,3,2,Accounts,Medium,2024-01-05 08:18:47,2024-01-05 13:36:50,Closed,Terminated user offboarding
52,31,2,Hardware,Medium,2024-01-16 16:11:10,2024-01-17 05:07:54,Closed,Keyboard keys unresponsive
53,19,2,Accounts,Medium,2024-01-30 11:17:22,2024-02-02 07:28:54,Closed,Password reset request
54,31,5,Software,Medium,2024-01-31 10:57:16,2024-01-31 19:39:11,Closed,PDF reader missing
55,16,2,Software,Low,2024-01-02 18:05:20,2024-01-04 20:22:58,Closed,PDF reader missing
56,29,4,Accounts,Medium,2024-01-08 10:06:46,2024-01-08 14:37:19,Closed,Shared mailbox access
57,2,4,Software,Medium,2024-01-10 15:54:31,2024-01-11 12:46:31,Closed,License activation error
58,31,7,Software,High,2024-01-17 15:06:48,2024-01-17 15:50:33,Closed,Browser extension breaks portal
59,20,1,Software,Low,2024-01-08 07:45:59,2024-01-10 11:00:05,Closed,Excel crashes on open
60,39,5,Software,Low,2024-01-01 15:17:38,2024-01-03 02:03:41,Closed,License activation error
61,34,7,Software,Low,2024-01-26 08:41:06,2024-01-28 06:15:43,Closed,PDF reader missing
62,9,4,Hardware,Low,2024-01-02 14:41:21,2024-01-02 19:57:17,Closed,Keyboard keys unresponsive
63,6,8,Software,Low,2024-01-29 10:23:49,2024-02-02 14:16:39,Closed,License activation error
64,30,1,Accounts,Low,2024-01-06 16:32:53,2024-01-07 14:58:42,Closed,Shared mailbox access
65,2,2,Accounts,Low,2024-01-03 17:24:31,2024-01-12 06:08:37,Closed,Password reset request
66,23,4,Network,Low,2024-01-22 12:54:48,2024-01-23 12:42:28,Closed,VPN will not connect
67,12,8,Hardware,Medium,2024-01-13 15:13:27,2024-01-17 03:10:19,Closed,Replace failing SSD
68,39,7,Software,Low,2024-01-01 15:05:53,2024-01-03 15:51:53,Closed,Update failed to install
69,34,6,Software,High,2024-01-02 12:57:44,2024-01-02 18:08:12,Closed,PDF reader missing
70,5,4,Hardware,High,2024-01-11 18:13:21,2024-01-12 04:51:05,Closed,Printer jams on every job
71,31,4,Network,Medium,2024-01-19 11:35:20,2024-01-19 23:54:18,Closed,Switch port down
72,4,1,Software,Medium,2024-01-12 08:41:56,2024-01-12 13:37:32,Closed,Browser extension breaks portal
73,39,3,Network,High,2024-01-23 18:45:54,2024-01-24 02:42:52,Closed,Slow file share access
74,36,7,Hardware,High,2024-01-04 18:16:04,2024-01-05 07:18:05,Closed,Keyboard keys unresponsive
75,35,1,Network,Low,2024-01-20 14:03:20,2024-01-21 11:19:19,Closed,DNS resolution failing
76,25,8,Network,Low,2024-01-08 12:19:41,2024-01-12 04:40:46,Closed,DNS resolution failing
77,31,7,Software,Medium,2024-01-11 09:15:09,2024-01-13 15:34:18,Closed,PDF reader missing
78,10,4,Hardware,High,2024-01-10 08:25:49,2024-01-10 23:48:13,Closed,Replace failing SSD
79,27,3,Security,Low,2024-01-15 14:44:56,2024-01-17 18:32:05,Closed,Firewall rule review
80,18,3,Network,Medium,2024-01-22 09:21:46,2024-01-22 18:06:17,Closed,Switch port down
81,28,7,Network,Medium,2024-01-15 14:03:14,2024-01-16 07:45:38,Closed,Switch port down
82,20,3,Accounts,Critical,2024-01-29 08:26:01,2024-01-30 01:28:42,Closed,MFA device replacement
83,20,3,Hardware,High,2024-01-23 13:28:32,2024-01-23 13:29:38,Closed,Monitor flickers after sleep
84,15,2,Hardware,Medium,2024-01-07 09:37:14,2024-01-08 00:05:33,Closed,Printer jams on every job
85,6,6,Security,Medium,2024-01-03 09:49:05,2024-01-04 15:07:10,Closed,Password reset after compromise
86,25,6,Software,Low,2024-01-12 12:44:25,2024-01-14 07:34:12,Closed,Update failed to install
87,35,2,Network,Low,2024-01-07 18:05:30,2024-01-07 23:21:56,Closed,Guest network open to staff VLAN
88,13,2,Network,Medium,2024-01-01 15:27:10,2024-01-02 02:14:25,Closed,Guest network open to staff VLAN
89,31,7,Software,Low,2024-01-22 08:35:28,2024-01-23 01:30:28,Closed,Email client stuck offline
90,23,2,Network,Medium,2024-01-12 07:55:41,2024-01-13 13:49:50,Closed,DNS resolution failing
91,36,3,Software,Critical,2024-01-11 09:33:17,2024-01-11 11:30:15,Closed,License activation error
92,34,2,Network,Low,2024-01-05 13:20:27,2024-01-06 16:32:43,Closed,Switch port down
93,26,4,Hardware,High,2024-01-06 15:20:30,2024-01-07 00:37:40,Closed,Monitor flickers after sleep
94,25,2,Software,High,2024-01-18 08:13:49,2024-01-18 08:56:03,Closed,License activation error
95,29,6,Software,Medium,2024-01-26 09:39:18,2024-01-27 19:19:14,Closed,Update failed to install
96,23,8,Network,Medium,2024-01-22 12:09:16,2024-01-23 13:40:17,Closed,Wi-Fi drops in back office
97,7,6,Hardware,Medium,2024-01-18 17:51:40,2024-01-18 21:18:02,Closed,Replace failing SSD
98,15,6,Software,Low,2024-01-28 17:58:54,2024-01-30 02:32:08,Closed,Update failed to install
99,9,8,Software,Medium,2024-01-14 16:39:20,2024-01-14 20:41:15,Closed,Update failed to install
100,9,2,Software,Low,2024-01-10 11:54:23,2024-01-10 12:14:00,Closed,PDF reader missing
101,8,4,Hardware,Low,2024-01-27 08:45:14,2024-01-29 21:27:23,Closed,Printer jams on every job
102,33,2,Software,Medium,2024-01-07 09:18:28,2024-01-07 12:26:37,Closed,Excel crashes on open
103,14,3,Accounts,High,2024-01-26 12:50:22,2024-01-26 13:26:02,Closed,MFA device replacement
104,13,8,Network,Medium,2024-01-30 11:56:14,2024-01-31 14:01:38,Closed,Wi-Fi drops in back office
105,39,8,Network,High,2024-01-12 11:09:34,2024-01-12 14:32:24,Closed,Switch port down
106,10,6,Software,High,2024-01-28 09:20:36,2024-01-28 20:03:41,Closed,License activation error
107,21,1,Software,High,2024-01-24 16:24:29,2024-01-24 21:07:23,Closed,PDF reader missing
108,32,5,Hardware,Medium,2024-01-04 09:39:05,2024-01-05 00:27:16,Closed,Docking station not detected
109,19,5,Hardware,High,2024-01-18 09:37:16,2024-01-18 11:49:24,Closed,Keyboard keys unresponsive
110,19,2,Hardware,Low,2024-01-19 17:59:51,2024-01-19 22:04:52,Closed,Monitor flickers after sleep
111,30,7,Hardware,Medium,2024-01-26 07:54:43,2024-01-27 02:31:00,Closed,Printer jams on every job
112,1,5,Software,Medium,2024-01-21 07:51:36,2024-01-22 09:29:43,Closed,PDF reader missing
113,29,4,Network,Low,2024-01-03 18:44:36,2024-01-04 19:10:08,Closed,Wi-Fi drops in back office
114,25,2,Accounts,Medium,2024-01-10 18:26:57,2024-01-11 17:24:08,Closed,New hire account setup
115,34,1,Network,Low,2024-01-22 07:10:32,2024-01-22 08:18:00,Closed,Slow file share access
116,20,7,Software,High,2024-01-04 15:23:32,2024-01-04 19:49:26,Closed,PDF reader missing
117,16,6,Software,Low,2024-01-07 09:15:44,2024-01-09 05:44:42,Closed,License activation error
118,37,1,Security,High,2024-01-09 11:24:12,2024-01-09 12:13:35,Closed,Firewall rule review
119,29,5,Software,Medium,2024-01-24 16:49:41,2024-01-26 09:43:25,Closed,Browser extension breaks portal
120,9,6,Software,Medium,2024-01-28 16:41:54,2024-01-28 17:18:48,Closed,Excel crashes on open
121,5,7,Hardware,High,2024-01-12 08:09:29,2024-01-12 17:19:15,Closed,Docking station not detected
122,26,2,Software,High,2024-01-17 14:00:52,2024-01-17 18:40:30,Closed,License activation error
123,6,4,Network,Medium,2024-01-18 17:20:59,2024-01-19 15:13:48,Closed,Slow file share access
124,28,8,Software,Low,2024-01-22 18:04:42,2024-01-22 23:03:43,Closed,License activation error
125,34,1,Hardware,Medium,2024-01-08 08:55:44,2024-01-08 16:08:46,Closed,Printer jams on every job
126,38,7,Software,Low,2024-01-02 14:52:15,2024-01-05 17:12:12,Closed,Excel crashes on open
127,33,1,Network,Medium,2024-01-02 12:02:27,2024-01-05 21:46:24,Closed,Wi-Fi drops in back office
128,26,8,Software,Low,2024-01-31 13:49:11,2024-02-04 07:59:41,Closed,PDF reader missing
129,22,7,Software,Low,2024-01-27 14:40:26,2024-01-28 00:28:21,Closed,Email client stuck offline
130,11,6,Hardware,Low,2024-01-29 07:53:55,2024-02-01 19:52:49,Closed,Laptop will not power on
131,36,6,Security,Medium,2024-01-15 11:53:47,2024-01-15 13:13:24,Closed,Phishing email reported
132,30,1,Software,High,2024-01-08 16:57:28,2024-01-08 18:36:42,Closed,Update failed to install
133,9,4,Network,Medium,2024-01-15 09:15:51,2024-01-15 10:02:22,Closed,Wi-Fi drops in back office
134,17,8,Hardware,Critical,2024-01-27 10:45:12,2024-01-27 11:31:56,Closed,Printer jams on every job
135,38,5,Accounts,High,2024-01-19 17:55:30,2024-01-20 10:22:36,Closed,Shared mailbox access
136,4,6,Software,Low,2024-01-12 11:31:01,2024-01-13 15:09:26,Closed,Excel crashes on open
137,2,1,Hardware,Low,2024-01-26 12:43:26,2024-01-26 12:52:59,Closed,Docking station not detected
138,8,7,Software,Medium,2024-01-31 13:31:18,2024-02-01 01:59:41,Closed,Browser extension breaks portal
139,3,2,Software,Medium,2024-01-02 14:38:11,2024-01-02 15:43:25,Closed,License activation error
140,13,3,Hardware,High,2024-01-10 13:42:39,2024-01-11 16:57:15,Closed,Laptop will not power on
141,28,5,Network,High,2024-01-14 14:42:26,2024-01-14 17:22:09,Closed,DNS resolution failing
142,10,3,Software,Low,2024-01-05 16:27:21,2024-01-08 03:15:23,Closed,Email client stuck offline
143,8,4,Network,Low,2024-01-05 12:21:24,2024-01-06 18:04:57,Closed,DNS resolution failing
144,15,7,Software,Critical,2024-01-14 09:35:09,2024-01-14 11:25:45,Closed,Update failed to install
145,40,4,Accounts,Medium,2024-01-16 09:45:20,2024-01-16 16:00:49,Closed,Password reset request
146,31,5,Hardware,Critical,2024-01-08 14:54:42,2024-01-08 15:15:30,Closed,Laptop will not power on
147,16,2,Security,Low,2024-01-03 18:59:02,2024-01-05 01:29:49,Closed,Malware quarantine review
148,15,5,Hardware,Medium,2024-01-07 13:38:14,2024-01-08 08:57:05,Closed,Replace failing SSD
149,35,1,Software,Low,2024-01-27 11:49:05,2024-01-28 20:12:05,Closed,Email client stuck offline
150,22,6,Software,Low,2024-01-18 15:56:55,2024-01-21 15:25:48,Closed,License activation error
151,35,6,Accounts,Medium,2024-01-25 07:17:18,2024-01-26 12:26:03,Closed,Group membership change
152,10,6,Security,High,2024-01-09 12:26:41,2024-01-09 23:16:15,Closed,Suspicious login alert
153,28,6,Network,Medium,2024-01-27 15:07:59,2024-01-27 22:58:33,Closed,Slow file share access
154,36,1,Accounts,Low,2024-01-01 14:38:25,2024-01-02 01:14:36,Closed,Shared mailbox access
155,34,8,Hardware,Medium,2024-01-31 13:40:51,2024-01-31 19:40:31,Closed,Keyboard keys unresponsive
156,13,2,Network,Medium,2024-01-11 10:08:24,2024-01-12 01:25:59,Closed,Guest network open to staff VLAN
157,24,6,Hardware,Medium,2024-01-31 07:35:42,2024-01-31 08:42:31,Closed,Printer jams on every job
158,18,6,Network,High,2024-01-30 13:46:18,2024-01-30 14:46:24,Closed,Switch port down
159,27,4,Network,Medium,2024-01-05 15:54:33,2024-01-05 20:48:11,Closed,VPN will not connect
160,36,8,Software,High,2024-01-05 14:22:13,2024-01-05 18:30:25,Closed,Update failed to install
161,7,2,Network,Low,2024-01-18 10:47:48,2024-01-20 14:42:52,Closed,DNS resolution failing
162,27,5,Software,High,2024-01-15 09:33:51,2024-01-15 23:17:30,Closed,License activation error
163,23,3,Software,Medium,2024-01-19 12:32:56,2024-01-22 17:45:42,Closed,PDF reader missing
164,28,6,Hardware,Low,2024-01-31 08:38:18,2024-02-03 01:18:05,Closed,Laptop will not power on
165,25,6,Software,Medium,2024-01-27 16:56:01,2024-01-28 01:39:24,Closed,Email client stuck offline
166,35,2,Hardware,High,2024-01-12 15:11:05,2024-01-13 08:21:26,Closed,Docking station not detected
167,17,4,Hardware,Medium,2024-01-24 09:53:29,2024-01-24 17:25:00,Closed,Printer jams on every job
168,5,2,Security,High,2024-01-21 16:26:22,2024-01-22 11:14:57,Closed,Password reset after compromise
169,12,6,Software,Medium,2024-01-26 15:02:31,2024-01-26 17:34:56,Closed,PDF reader missing
170,5,7,Hardware,Medium,2024-01-05 09:51:25,2024-01-05 10:32:00,Closed,Keyboard keys unresponsive
171,29,7,Software,Low,2024-01-23 18:00:48,2024-01-24 01:12:18,Closed,Excel crashes on open
172,30,2,Network,Medium,2024-01-11 09:53:44,2024-01-11 17:42:26,Closed,Guest network open to staff VLAN
173,30,2,Hardware,Low,2024-01-27 10:59:16,2024-01-29 00:25:17,Closed,Keyboard keys unresponsive
174,12,5,Software,Medium,2024-01-18 18:06:08,2024-01-20 11:26:33,Closed,Email client stuck offline
175,36,6,Hardware,Medium,2024-01-27 13:10:40,2024-01-30 03:32:02,Closed,Replace failing SSD
176,4,6,Hardware,Critical,2024-01-18 14:26:03,2024-01-18 16:16:43,Closed,Printer jams on every job
177,5,6,Software,High,2024-01-24 09:46:13,2024-01-24 14:42:20,Closed,License activation error
178,29,1,Software,Medium,2024-01-03 09:01:06,2024-01-06 18:45:57,Closed,Email client stuck offline
179,29,6,Hardware,Low,2024-01-21 16:34:56,2024-01-22 01:41:45,Closed,Monitor flickers after sleep
180,38,8,Software,Low,2024-01-03 09:59:20,2024-01-05 00:59:19,Closed,Excel crashes on open
181,36,7,Hardware,Medium,2024-01-13 12:30:54,2024-01-14 08:33:19,Closed,Monitor flickers after sleep
182,40,2,Hardware,High,2024-01-07 18:19:59,2024-01-07 20:33:03,Closed,Laptop will not power on
183,3,6,Network,High,2024-01-03 14:29:32,2024-01-03 20:52:20,Closed,Slow file share access
184,6,7,Hardware,High,2024-01-21 07:10:57,2024-01-21 10:34:13,Closed,Docking station not detected
185,32,6,Accounts,High,2024-01-02 08:38:20,2024-01-02 17:53:26,Closed,MFA device replacement
186,5,1,Network,Medium,2024-01-19 09:46:34,2024-01-21 20:05:27,Closed,Switch port down
187,22,6,Accounts,High,2024-01-29 10:53:23,2024-01-29 11:23:01,Closed,MFA device replacement
188,28,4,Software,Medium,2024-01-27 14:34:05,2024-01-28 04:36:51,Closed,Email client stuck offline
189,34,4,Network,High,2024-01-28 16:30:41,2024-01-28 20:37:27,Closed,Switch port down
190,31,7,Network,Low,2024-01-16 11:20:53,2024-01-16 16:45:59,Closed,Guest network open to staff VLAN
191,8,6,Hardware,Low,2024-01-25 15:34:39,2024-01-25 21:39:31,Closed,Keyboard keys unresponsive
192,36,6,Network,Low,2024-01-07 14:08:22,2024-01-09 16:29:28,Closed,Wi-Fi drops in back office
193,9,5,Security,High,2024-01-27 17:25:43,2024-01-27 17:55:34,Closed,USB device policy violation
194,17,1,Accounts,Medium,2024-01-16 08:57:30,2024-01-19 23:59:52,Closed,MFA device replacement
195,1,6,Software,Medium,2024-01-06 13:19:16,2024-01-06 20:47:03,Closed,Excel crashes on open
196,27,7,Hardware,Medium,2024-01-06 11:24:27,2024-01-07 01:49:27,Closed,Monitor flickers after sleep
197,30,6,Accounts,Critical,2024-01-11 14:44:39,2024-01-11 18:15:58,Closed,New hire account setup
198,18,4,Security,Low,2024-01-24 16:21:13,2024-01-25 03:28:29,Closed,Password reset after compromise
199,12,2,Hardware,Low,2024-01-27 10:54:33,2024-02-03 11:28:54,Closed,Monitor flickers after sleep
200,6,8,Network,High,2024-01-06 10:37:15,2024-01-06 11:29:54,Closed,Guest network open to staff VLAN
201,6,5,Hardware,High,2024-01-15 16:42:45,2024-01-15 18:48:56,Closed,Laptop will not power on
202,1,6,Accounts,Medium,2024-01-08 17:36:57,2024-01-09 05:18:34,Closed,Shared mailbox access
203,37,5,Security,Low,2024-01-06 16:48:32,2024-01-07 02:39:21,Closed,Suspicious login alert
204,37,6,Software,High,2024-01-11 12:40:55,2024-01-11 15:19:31,Closed,Browser extension breaks portal
205,2,3,Software,High,2024-01-16 09:16:56,2024-01-16 09:51:28,Closed,Browser extension breaks portal
206,4,5,Software,High,2024-01-06 13:45:02,2024-01-07 05:09:04,Closed,Browser extension breaks portal
207,21,6,Software,Medium,2024-01-22 11:41:58,2024-01-22 17:47:06,Closed,Email client stuck offline
208,15,8,Security,High,2024-01-05 07:11:47,2024-01-05 15:13:30,Closed,Firewall rule review
209,18,1,Hardware,Critical,2024-01-09 07:46:34,2024-01-09 08:33:23,Closed,Laptop will not power on
210,4,6,Accounts,High,2024-01-27 08:26:06,2024-01-27 23:41:26,Closed,Group membership change
211,11,1,Hardware,High,2024-01-05 10:53:26,2024-01-05 10:54:38,Closed,Replace failing SSD
212,26,2,Hardware,Medium,2024-01-24 17:07:34,2024-01-25 04:50:50,Closed,Printer jams on every job
213,23,4,Network,Medium,2024-01-29 14:56:23,2024-01-30 17:57:45,Closed,VPN will not connect
214,7,3,Hardware,High,2024-01-06 14:37:33,2024-01-06 18:25:27,Closed,Monitor flickers after sleep
215,12,7,Software,High,2024-01-15 16:07:22,2024-01-15 20:41:09,Closed,Update failed to install
216,30,4,Accounts,Low,2024-01-28 12:16:00,2024-01-30 11:26:04,Closed,Group membership change
217,13,5,Network,Low,2024-01-01 07:04:23,2024-01-01 11:40:44,Closed,Wi-Fi drops in back office
218,36,8,Software,High,2024-01-09 07:20:43,2024-01-09 10:02:36,Closed,Browser extension breaks portal
219,20,1,Security,Medium,2024-01-27 16:51:43,2024-01-27 23:51:14,Closed,USB device policy violation
220,28,6,Accounts,Medium,2024-01-25 14:44:22,2024-01-25 23:56:25,Closed,Shared mailbox access
221,8,6,Hardware,Low,2024-01-26 14:46:51,2024-01-26 15:37:10,Closed,Replace failing SSD
222,24,8,Hardware,High,2024-01-15 18:52:14,2024-01-16 04:51:03,Closed,Laptop will not power on
223,13,8,Hardware,Low,2024-01-06 10:34:33,2024-01-06 23:39:41,Closed,Printer jams on every job
224,35,2,Security,Medium,2024-01-15 17:45:45,2024-01-16 09:48:31,Closed,Firewall rule review
225,16,8,Network,Low,2024-01-30 15:49:19,2024-01-31 01:41:34,Closed,Guest network open to staff VLAN
226,9,1,Software,Low,2024-01-07 16:20:36,2024-01-07 16:59:52,Closed,Excel crashes on open
227,38,6,Software,Medium,2024-01-18 10:42:52,2024-01-19 17:42:53,Closed,PDF reader missing
228,36,8,Software,Medium,2024-01-18 12:02:53,2024-01-20 09:27:32,Closed,PDF reader missing
229,11,1,Security,Medium,2024-01-07 16:49:43,2024-01-07 22:55:07,Closed,Firewall rule review
230,34,5,Software,Medium,2024-01-24 08:04:44,2024-01-24 17:32:01,Closed,PDF reader missing
231,23,4,Accounts,Low,2024-01-20 11:24:39,2024-01-21 07:43:18,Closed,Password reset request
232,9,8,Hardware,Medium,2024-01-18 17:55:38,2024-01-19 07:24:32,Closed,Replace failing SSD
233,18,2,Security,Low,2024-01-24 09:47:30,2024-02-01 01:04:09,Closed,USB device policy violation
234,32,5,Software,Medium,2024-01-08 07:47:26,2024-01-08 15:01:45,Closed,Email client stuck offline
235,6,3,Network,Medium,2024-01-09 09:20:19,2024-01-10 17:20:18,Closed,Wi-Fi drops in back office
236,32,6,Hardware,High,2024-01-17 13:40:35,2024-01-18 01:13:27,Closed,Replace failing SSD
237,6,2,Hardware,High,2024-01-30 18:54:39,2024-01-30 19:10:02,Closed,Keyboard keys unresponsive
238,2,3,Software,Medium,2024-01-30 08:34:25,2024-02-01 20:47:56,Closed,Update failed to install
239,13,7,Software,Low,2024-01-07 14:55:52,2024-01-09 13:37:57,Closed,PDF reader missing
240,18,7,Software,Low,2024-01-21 11:53:48,2024-01-25 19:01:59,Closed,Email client stuck offline
241,21,5,Accounts,Medium,2024-01-31 14:51:07,2024-02-01 11:58:22,Closed,Password reset request
242,15,1,Software,Low,2024-01-28 11:53:42,2024-01-28 22:33:00,Closed,PDF reader missing
243,12,2,Hardware,Low,2024-01-17 14:36:14,2024-01-19 00:56:07,Closed,Docking station not detected
244,6,5,Security,Medium,2024-01-26 07:04:20,2024-01-28 03:19:12,Closed,Malware quarantine review
245,21,5,Hardware,Medium,2024-01-16 15:44:56,2024-01-17 07:42:46,Closed,Laptop will not power on
246,31,6,Hardware,Medium,2024-01-13 09:31:22,2024-01-13 17:17:54,Closed,Docking station not detected
247,27,2,Software,Low,2024-01-19 10:06:39,2024-01-24 07:37:23,Closed,Browser extension breaks portal
248,9,5,Accounts,Medium,2024-01-18 15:25:41,2024-01-18 16:42:54,Closed,Terminated user offboarding
249,18,6,Hardware,Medium,2024-01-04 16:36:32,2024-01-04 19:20:13,Closed,Keyboard keys unresponsive
250,9,3,Security,Medium,2024-01-31 14:23:30,2024-02-01 23:57:15,Closed,USB device policy violation
251,39,6,Accounts,Low,2024-01-13 12:05:38,2024-01-13 21:51:14,Closed,Password reset request
252,37,5,Security,Medium,2024-01-12 09:31:57,2024-01-13 04:00:44,Closed,Suspicious login alert
253,17,5,Software,Low,2024-01-01 07:16:36,2024-01-03 10:22:45,Closed,Browser extension breaks portal
254,7,1,Hardware,Low,2024-01-10 10:07:41,2024-01-10 11:22:15,Closed,Laptop will not power on
255,17,5,Security,Medium,2024-01-17 18:30:04,2024-01-20 09:32:46,Closed,Suspicious login alert
256,24,5,Network,High,2024-01-13 10:04:18,2024-01-13 10:19:36,Closed,Switch port down
257,28,2,Network,Low,2024-01-21 12:51:53,2024-01-22 18:36:43,Closed,VPN will not connect
258,7,3,Software,Medium,2024-01-02 16:05:02,2024-01-03 09:23:14,Closed,Update failed to install
259,4,3,Software,Medium,2024-01-26 17:53:09,2024-01-26 18:30:18,Closed,License activation error
260,1,2,Software,Low,2024-01-13 12:44:57,2024-01-15 01:49:46,Closed,Update failed to install
261,31,4,Hardware,Medium,2024-01-01 07:44:12,2024-01-01 21:27:24,Closed,Printer jams on every job
262,35,2,Network,Low,2024-01-14 16:27:11,2024-01-17 16:29:57,Closed,Switch port down
263,13,5,Security,Medium,2024-01-14 09:47:47,2024-01-14 12:15:59,Closed,Firewall rule review
264,8,1,Software,Medium,2024-01-25 17:54:00,2024-01-26 05:14:54,Closed,Excel crashes on open
265,7,6,Hardware,High,2024-01-30 17:54:34,2024-01-30 20:16:32,Closed,Replace failing SSD
266,31,5,Hardware,Low,2024-01-08 16:25:22,2024-01-09 03:17:09,Closed,Replace failing SSD
267,8,5,Network,High,2024-01-28 09:01:10,2024-01-29 02:05:18,Closed,Guest network open to staff VLAN
268,17,4,Network,Medium,2024-01-26 17:38:36,2024-01-27 09:18:06,Closed,DNS resolution failing
